t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
51.395,0,3.5,-6.650000095367432,1.9,0,0.2
51.415,0,3.5,-6.650000095367432,1.9,0,0.2
51.435,0,3.5,-6.650000095367432,1.9,0,0.2
51.455,0,3.5,-6.650000095367432,1.9,0,0.2
51.475,0,3.5,-6.650000095367432,1.9,0,0.2
51.495,0,3.5,-6.650000095367432,1.9,0,0.2
51.515,0,3,-5.699999809265137,1.9,0,0.2
51.535,0,3,-5.699999809265137,1.9,0,0.2
51.555,0,3,-5.699999809265137,1.9,0,0.2
51.575,0,3,-5.699999809265137,1.9,0,0.2
51.595,0,2,-3.799999952316284,1.9,0,0.2
51.615,0,2,-3.799999952316284,1.9,0,0.2
51.635,0,2,-3.799999952316284,1.9,0,0.2
51.655,0,2,-3.799999952316284,1.9,0,0.2
51.675,0,2,-3.799999952316284,1.9,0,0.2
51.695,0,1.5,-2.8499999046325684,1.9,0,0.2
51.715,0,1.5,-2.8499999046325684,1.9,0,0.2
51.735,0,1.5,-2.8499999046325684,1.9,0,0.2
51.755,0,1,-1.899999976158142,1.9,0,0.2
51.775,0,1,-1.899999976158142,1.9,0,0.2
51.795,0,1.5,-2.8499999046325684,1.9,0,0.2
51.815,0,1.5,-2.8499999046325684,1.9,0,0.2
51.835,0,1.5,-2.8499999046325684,1.9,0,0.2
51.855,0,2,-3.799999952316284,1.9,0,0.2
51.875,0,2,-3.799999952316284,1.9,0,0.2
51.895,0,2,-3.799999952316284,1.9,0,0.2
51.915,0,2,-3.799999952316284,1.9,0,0.2
51.935,0,3,-44,1.9,0,0.2
51.955,0,3,-5.699999809265137,1.9,0,0.2
51.975,0,3,-5.699999809265137,1.9,0,0.2
51.995,0,3,-5.699999809265137,1.9,0,0.2
52.015,0,3.5,-26.649999618530273,1.9,0,0.2
52.035,0,3.5,-6.650000095367432,1.9,0,0.2
52.055,0,3.5,-6.650000095367432,1.9,0,0.2
52.075,0,3.5,-6.650000095367432,1.9,0,0.2
52.095,0,3.5,-6.650000095367432,1.9,0,0.2
52.115,0,3.5,-6.650000095367432,1.9,0,0.2
52.135,0,3.5,-6.650000095367432,1.9,0,0.2
52.155,0,3,-5.699999809265137,1.9,0,0.2
52.175,0,3.5,-6.650000095367432,1.9,0,0.2
52.195,0,3.5,-6.650000095367432,1.9,0,0.2
52.215,0,3.5,-6.650000095367432,1.9,0,0.2
52.235,0,4,-7.599999904632568,1.9,0,0.2
52.255,0,4,-7.599999904632568,1.9,0,0.2
52.275,0,4,-7.599999904632568,1.9,0,0.2
52.295,0,4,-7.599999904632568,1.9,0,0.2
52.315,0,3.5,-6.650000095367432,1.9,0,0.2
52.335,0,3.5,-6.650000095367432,1.9,0,0.2
52.355,0,3.5,-6.650000095367432,1.9,0,0.2
52.375,0,3,-5.699999809265137,1.9,0,0.2
52.395,0,3,-5.699999809265137,1.9,0,0.2
52.415,0,3,-5.699999809265137,1.9,0,0.2
