t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
95.335,0,2,-3.799999952316284,1.9,0,0.2
95.355,0,2,-3.799999952316284,1.9,0,0.2
95.375,0,2,-3.799999952316284,1.9,0,0.2
95.395,0,2,-3.799999952316284,1.9,0,0.2
95.415,0,2,-3.799999952316284,1.9,0,0.2
95.435,0,1.5,-2.8499999046325684,1.9,0,0.2
95.455,0,1.5,-2.8499999046325684,1.9,0,0.2
95.475,0,1,-1.899999976158142,1.9,0,0.2
95.495,0,1,-1.899999976158142,1.9,0,0.2
95.515,0,1,-1.899999976158142,1.9,0,0.2
95.535,0,1,-1.899999976158142,1.9,0,0.2
95.555,0,0.5,-0.949999988079071,1.9,0,0.2
95.575,0,0.5,-0.949999988079071,1.9,0,0.2
95.595,0,1,-1.899999976158142,1.9,0,0.2
95.615,0,1,-1.899999976158142,1.9,0,0.2
95.635,0,1.5,-2.8499999046325684,1.9,0,0.2
95.655,0,1,18.100000381469727,1.9,0,0.2
